"観点","状況","起きる問題","決めた仕様","画面表示","優先度"
"順序","X-22 返却済みを再返却","返却履歴が上書きされる。","既返却を検知。同じ要求は既存結果、別要求は拒否。【実装済】","完了結果／E-14「返却対象の貸出がないか、すでに返却済みです。貸出状況を確認してください。」","高"
"順序","X-23 貸出中に修理・廃棄へ変更される","端末状態と未返却貸出が矛盾する。","状態変更側で制御する案。返却時は不整合を検知して中止。【一部実装】貸出中の状態変更をDBトリガーで拒否。修理・廃棄管理画面や例外運用は未実装。","E-20「貸出情報を確認できません。情報システム部へお問い合わせください。」","高"
"順序","X-24 古い貸出の返却要求が再貸出後に届く","新しい借用者の貸出を誤って返却する。","貸出IDと未返却条件で限定。新貸出を更新しない。【実装済】","既存結果／E-14「返却対象の貸出がないか、すでに返却済みです。貸出状況を確認してください。」","高"
"時間","X-25 期限超過が放置される","返却の催促が行われず、PCが戻らない。","日次等の判定処理で未返却かつ期限超過を抽出。【一部実装】返却一覧の延滞表示は実装。日次処理・メール送信は宛先と頻度未決のため未実装。","返却一覧に「延滞」を表示。延滞メールは未実装。","中"
"時間","X-26 延滞者が新規に借りる","延滞したまま別のPCを借りられる。","確定時に延滞を検知。返却は許容。【実装済】","E-13「未返却の延滞PCがあります。返却後にお申し込みください。」","中"
"時間","X-27 確認中に日付が変わる","確認時には正しかった日付が確定時には過去日になる。","確定時の業務日で再検証し必要なら入力へ戻す。【実装済】","E-11「返却予定日は{当日}から{7日後}までで入力してください。」：確定日の当日〜7日後の範囲を表示し、修正を促す。","中"
"時間","X-28 月末・1か月先・1週間の境界が曖昧","予約や返却日上限の判定が実装ごとに異なる。","暦月・日数のルールをQ-02・Q-03で統一。【一部実装】実貸出のD〜D+7は実装。将来予約の暦月境界は予約設計が未確定のため未実装。","実貸出は範囲内なら確認へ、範囲外はE-11。将来予約画面は未実装。","中"
"失敗時","X-29 2テーブルの片方更新後に障害","貸出記録と端末状態の片方だけが更新される。","貸出・返却を各1トランザクションにして全体取消。【実装済】","E-15「処理を完了できませんでした。時間をおいて再度お試しください。」","高"
"失敗時","X-30 DB切断・タイムアウト","処理の失敗や結果不明によって再操作が発生する。","未確定が判明した場合のみ失敗通知。確定不明は結果照会。【一部実装】DB例外はロールバックしてE-15。同じ要求の再送は安全。通信結果不明専用のE-16画面・自動照会UIは未実装。","E-15：処理を完了できませんでした。時間をおいて再度お試しください。結果不明専用E-16画面は未実装。","高"
"失敗時","X-31 確定後に応答通信断・セッション失効","利用者が失敗と判断して二重登録する。","再認証後も元の要求結果を取得し再登録しない。【一部実装】要求結果はDBに保存し、同じ要求を再送・元の結果URLを再訪できる。自動再接続・結果一覧UIは未実装。","再ログイン後、元の結果URLで完了結果を表示。認証切れPOSTはE-19。自動照会UIは未実装。","高"
"失敗時","X-32 延滞メール送信失敗","催促が届かず、送信失敗も把握できない。","送信結果を記録し再試行。延滞判定は継続。【未実装】メール基盤・宛先・頻度が未決。送信失敗ログ／再試行キューは今回対象外。","未実装。設計案：運用者向けに送信失敗と再試行状態を表示。","中"
"不正操作","X-33 URL直打ちで確認を省略","確認していない内容で貸出・返却が実行される。","確定時に有効な確認情報を必須化。GETでは更新なし。【実装済】","E-17「確認情報が無効です。申請画面からやり直してください。」","高"
"不正操作","X-34 確認後に端末・借用者・日付を差替え","利用者が確認した内容と登録内容が異なる。","確認済み内容と照合。不一致は再確認へ。【実装済】","E-17「確認情報が無効です。申請画面からやり直してください。」","高"
"不正操作","X-35 他人のIDを指定し権限外操作","他人の貸出を権限なく操作できる。","本人または許可代理かをサーバーで判定。【一部実装】借用者IDによる代理貸出はデモで許可。返却・要求トークンは本人／管理者・操作者で制限。正式な代理範囲は未合意。","E-18「この操作を行う権限がありません。」","高"
"不正操作","X-36 未認証・期限切れ状態から実行","認証がない状態で更新できる。","更新前に認証確認。完了済みなら再ログイン後照会。【実装済】","E-19「ログインの有効期限が切れました。再度ログインしてください。」","高"
